Date,Close,Open,High,Low,Volume,Unnamed: 6
2025-04-18,389.83,402.0,402.57,388.0,6170000.0,
2025-04-21,386.78,391.7,393.0,384.25,3230000.0,
2025-04-22,385.66,386.99,391.0,384.25,2580000.0,
2025-04-23,381.05,388.8,389.0,380.1,2570000.0,
2025-04-24,370.92,370.0,376.99,361.0,4080000.0,
2025-04-25,363.96,371.5,375.74,355.97,5050000.0,
2025-04-28,349.46,365.05,368.85,347.01,2430000.0,
2025-04-29,357.24,348.0,359.39,345.0,3380000.0,
2025-04-30,343.49,350.0,353.0,338.5,4790000.0,
2025-05-02,353.0,350.52,356.66,348.0,1990000.0,
2025-05-05,355.84,353.0,358.39,347.05,2029999.9999999998,
2025-05-06,363.19,360.0,370.2,356.65,4250000.0,
2025-05-07,345.75,340.21,361.0,340.0,4690000.0,
2025-05-08,311.57,350.1,353.49,311.18,6180000.0,
2025-05-09,329.82,311.57,335.0,300.0,6170000.0,
2025-05-12,362.8,362.8,362.8,362.8,790880.0,
2025-05-13,386.1,375.0,388.6,365.0,12180000.0,
2025-05-14,378.91,388.11,388.11,377.0,4460000.0,
2025-05-15,386.28,384.0,388.5,379.7,5530000.0,
2025-05-16,379.95,387.99,390.4,379.1,3300000.0,
2025-05-19,385.32,388.0,391.0,383.3,3780000.0,
2025-05-20,379.43,385.32,385.32,378.27,1210000.0,
2025-05-21,383.5,378.06,386.7,378.06,2320000.0,
2025-05-22,376.32,384.0,386.75,375.0,2720000.0,
2025-05-23,375.76,377.95,379.2,373.6,1330000.0,
2025-05-26,362.76,369.0,370.0,358.05,3240000.0,
2025-05-27,366.43,362.01,368.3,362.01,1750000.0,
2025-05-29,365.22,366.43,368.84,364.11,1030000.0,
2025-05-30,366.0,366.01,368.0,364.5,890180.0,
2025-06-02,365.8,369.0,378.25,363.0,3540000.0,
2025-06-03,367.51,365.8,369.96,361.0,1090000.0,
2025-06-04,372.07,367.49,380.49,362.0,10710000.0,
2025-06-05,370.34,373.1,374.3,369.04,1330000.0,
2025-06-10,368.35,371.97,372.0,367.51,1070000.0,
2025-06-11,375.78,373.05,378.8,370.5,3640000.0,
2025-06-12,374.67,376.63,385.0,373.0,5790000.0,
2025-06-13,368.63,367.67,371.87,363.1,2860000.0,
2025-06-16,368.43,370.0,372.7,367.0,1270000.0,
2025-06-17,370.25,368.4,371.68,364.0,2260000.0,
2025-06-18,366.12,367.11,370.5,364.23,2340000.0,
2025-06-19,369.55,374.7,377.8,367.11,3770000.0,
2025-06-20,372.29,370.0,375.87,369.55,2300000.0,
2025-06-23,354.47,366.99,370.4,348.0,3240000.0,
2025-06-24,376.79,371.0,380.98,370.0,6560000.0,
2025-06-25,377.89,377.5,381.0,373.0,4040000.0,
2025-06-26,379.99,380.0,385.0,379.0,5170000.0,
2025-06-27,379.54,381.5,387.99,376.75,5170000.0,
2025-06-30,377.53,382.51,382.51,377.0,1950000.0,
2025-07-01,380.69,378.0,383.5,377.0,3140000.0,
2025-07-02,388.42,382.5,390.9,381.05,6180000.0,
2025-07-03,394.82,393.5,397.13,389.11,5490000.0,
2025-07-04,391.91,396.0,397.0,389.1,2790000.0,
2025-07-07,392.08,392.5,394.0,390.25,2280000.0,
2025-07-08,392.75,393.5,395.0,389.4,2110000.0,
2025-07-09,384.09,393.0,393.0,382.9,4350000.0,
2025-07-10,380.25,384.09,385.6,378.01,1650000.0,
2025-07-11,385.5,380.25,387.34,379.99,2280000.0,
2025-07-14,381.99,387.45,387.5,380.5,1540000.0,
2025-07-15,377.87,383.45,384.4,375.11,2490000.0,
2025-07-16,375.91,379.0,380.08,375.0,1340000.0,
2025-07-17,383.39,375.05,386.5,375.05,3030000.0,
2025-07-18,378.67,384.0,385.0,378.0,1640000.0,
2025-07-21,380.9,379.0,383.47,376.01,1570000.0,
2025-07-22,383.63,380.9,386.9,380.0,3040000.0,
2025-07-23,383.19,388.1,388.51,382.0,1990000.0,
2025-07-24,379.72,383.99,386.0,379.0,1120000.0,
2025-07-25,379.18,380.0,382.0,378.0,976250.0,
2025-07-28,385.26,383.98,388.7,383.0,3840000.0,
2025-07-29,378.31,386.01,387.5,370.0,1810000.0,
2025-07-30,378.75,380.0,381.2,376.0,1200000.0,
2025-07-31,385.79,385.0,389.7,380.11,8289999.999999999,
2025-08-01,411.72,385.45,416.4,383.05,21300000.0,
2025-08-04,409.03,417.21,422.9,407.76,9930000.0,
2025-08-05,403.95,408.78,410.9,402.21,2840000.0,
2025-08-06,412.6,403.99,414.5,403.95,6290000.0,
2025-08-07,423.75,414.0,425.0,411.0,12900000.0,
2025-08-08,417.95,424.88,429.0,416.0,8450000.0,
2025-08-11,423.72,417.5,425.64,412.55,6590000.0,
2025-08-12,415.34,425.1,428.0,413.53,7090000.0,
2025-08-13,409.9,413.0,414.98,408.0,4640000.0,
2025-08-15,404.79,410.1,414.0,402.0,3780000.0,
2025-08-18,402.91,405.0,406.1,395.0,3280000.0,
2025-08-19,402.75,402.99,409.0,398.0,7450000.0,
2025-08-20,398.51,401.99,402.75,397.03,3080000.0,
2025-08-21,396.0,398.51,402.55,390.08,4780000.0,
2025-08-22,400.64,396.0,402.5,396.0,4090000.0,
2025-08-25,401.81,400.5,405.0,399.91,3130000.0,
2025-08-26,404.37,406.0,407.97,403.61,3930000.0,
2025-08-27,399.1,404.7,404.7,396.9,4019999.9999999995,
2025-08-28,396.86,400.0,400.0,396.25,1750000.0,
2025-08-29,401.08,398.5,408.0,392.0,4580000.0,
2025-09-01,402.95,402.0,404.1,398.05,2820000.0,
2025-09-02,403.31,404.0,406.74,401.25,2650000.0,
2025-09-03,407.66,404.0,413.23,402.5,6100000.0,
2025-09-04,409.02,409.49,412.0,404.51,3810000.0,
2025-09-05,416.13,409.25,421.4,408.0,9100000.0,
2025-09-08,422.41,420.01,426.0,420.0,6480000.0,
2025-09-09,415.95,424.97,425.0,415.03,3480000.0,
2025-09-10,421.71,415.0,424.48,413.0,5530000.0,
2025-09-11,415.16,423.75,424.0,414.15,2920000.0,
2025-09-12,412.78,417.5,419.2,412.0,2200000.0,
2025-09-15,416.55,413.0,419.0,411.81,2850000.0,
2025-09-16,424.58,416.98,427.25,415.9,8199999.999999999,
2025-09-17,420.85,426.0,428.99,419.0,6370000.0,
2025-09-18,424.36,424.9,428.0,423.0,4780000.0,
2025-09-19,431.87,424.75,448.37,424.75,13700000.0,
2025-09-22,450.11,433.4,454.98,430.0,15690000.0,
2025-09-23,457.69,462.0,467.9,451.16,17660000.0,
2025-09-24,454.92,462.0,463.75,448.45,7840000.0,
2025-09-25,451.55,459.0,459.0,448.1,5010000.0,
2025-09-26,450.81,453.5,455.5,449.0,4680000.0,
2025-09-29,478.6,453.5,480.0,448.65,16290000.0,
2025-09-30,472.45,484.4,488.5,470.6,11330000.0,
2025-10-01,470.09,475.45,479.0,466.11,6840000.0,
2025-10-02,483.54,472.0,485.0,467.5,9330000.0,
2025-10-03,486.58,484.0,494.8,480.2,11040000.0,
2025-10-06,477.0,485.98,486.0,470.05,6830000.0,
2025-10-07,472.55,479.5,483.0,471.5,7490000.0,
2025-10-08,479.37,473.75,486.0,469.94,10060000.0,
2025-10-09,485.66,484.6,494.74,483.0,10380000.0,
2025-10-10,482.64,483.99,490.0,480.6,5950000.0,
2025-10-13,462.74,480.0,483.0,461.0,8740000.0,
2025-10-14,486.6,470.02,489.8,469.99,9460000.0,
2025-10-15,475.75,482.0,484.0,474.8,4620000.0,
2025-10-16,471.61,476.5,483.5,470.0,3000000.0,
2025-10-17,467.76,473.5,473.5,466.5,2290000.0,
2025-10-20,475.78,471.0,478.0,466.5,6030000.0,
2025-10-21,475.96,479.05,479.74,475.0,3150000.0,
2025-10-22,472.39,475.9,482.89,469.75,5190000.0,
2025-10-23,466.67,470.0,476.0,465.65,3200000.0,
2025-10-24,464.96,466.0,473.0,462.1,2100000.0,
2025-10-27,449.88,464.96,465.49,448.0,3890000.0,
2025-10-28,446.97,451.99,463.58,443.99,5660000.0,
2025-10-29,440.54,450.0,453.44,438.5,3270000.0,
2025-10-30,439.81,441.61,448.1,436.46,2770000.0,
2025-10-31,449.14,446.1,451.9,444.01,2760000.0,
